ID,Rel_Sat,BFI_E,BFI_N,BFI_O,BFI_A,BFI_C,SelfEsteem
213,18,4.166666667,2.166666667,3.666666667,4.666666667,4.166666667,28
214,17,4,2.666666667,3.833333333,3.833333333,2,31
215,18,3.5,2.5,4.333333333,3.833333333,4,32
216,21,3.666666667,2.333333333,4.333333333,3.666666667,3.666666667,36
217,21,4.166666667,1.333333333,4,4.333333333,3,34
218,15,3.666666667,1.833333333,4.333333333,3.5,3.666666667,26
219,19,3.5,3.166666667,4.333333333,4.5,4,34
220,18,3.666666667,4,4,4.5,2.5,26
221,16,3,4.166666667,3.666666667,4,3,26
222,15,3.5,2.333333333,4.333333333,3.5,3.333333333,32
223,19,3.833333333,3.333333333,2.833333333,3,3,31
224,17,4,2.166666667,3.833333333,2.666666667,3.5,25
225,17,3.333333333,2.833333333,2.5,3.5,4.5,33
226,18,3.166666667,2,3.333333333,3.333333333,2.5,35
227,14,3.166666667,3.5,3.666666667,4.333333333,3.666666667,27
228,21,3.5,2.666666667,3.666666667,3.833333333,3.333333333,29
229,21,3.833333333,2.333333333,4.666666667,5,4.833333333,39
230,21,3.833333333,1.666666667,3.333333333,4.333333333,3.5,36
231,21,5,1.5,4,4.333333333,4.666666667,35
232,21,5,1.166666667,3.666666667,5,5,39
233,21,2.833333333,1.833333333,3.333333333,4.5,4.666666667,40
234,21,4.333333333,2.833333333,4.166666667,4.833333333,3.5,39
235,20,3.5,3.333333333,4,3.333333333,3.333333333,26
236,21,2.5,2.5,3.333333333,4.166666667,3.5,27
237,21,2.833333333,3,3.166666667,3.333333333,2.333333333,25
238,21,4,3,2.666666667,3.5,3.166666667,33
239,21,3.333333333,3,3.333333333,3.5,2.5,28
240,21,3.833333333,2.666666667,3.666666667,4,4.333333333,39
241,21,3.5,1.166666667,4,3.333333333,1.833333333,32
242,21,4.333333333,3.666666667,4.166666667,2.666666667,3,28
243,21,3.166666667,2.833333333,3.5,3.333333333,3.666666667,27
244,12,1.666666667,1.5,3.166666667,2.666666667,2.333333333,37
245,21,3.833333333,2.5,4.833333333,4.833333333,4.5,37
246,20,4,3,4.5,4.166666667,2.833333333,31
247,21,3.333333333,2.333333333,4.166666667,4.166666667,3.833333333,31
248,21,3.666666667,3.333333333,5,4.333333333,3.166666667,35
